"measure_id","measure_name","location_id","ihme_loc_id","location_name","sex_id","sex","age_group_id","age_group_name","year_id","metric_id","metric_name","rei_id","rei_name","threshold","population","mean","upper","lower"
18,"Proportion",5,"R3","East Asia",3,"Both",NA,"25+",2023,NA,NA,242,"Lead exposure in blood",50,1063356026.1974497,0.37922899281382255,0.992,0
18,"Proportion",5,"R3","East Asia",3,"Both",NA,"<1",2023,NA,NA,242,"Lead exposure in blood",50,9877698.601361727,0.1302248527575936,0.957,0
18,"Proportion",5,"R3","East Asia",3,"Both",NA,"<20",2023,NA,NA,242,"Lead exposure in blood",50,342957766.3706583,0.1625253016749537,0.69,0
18,"Proportion",5,"R3","East Asia",3,"Both",NA,"<5",2023,NA,NA,242,"Lead exposure in blood",50,64419421.045741156,0.13459807034444035,0.597333333333333,0
18,"Proportion",5,"R3","East Asia",3,"Both",22,"All ages",2023,NA,NA,242,"Lead exposure in blood",50,1480271944.5695426,0.3218926637142991,0.9872,0
18,"Proportion",5,"R3","East Asia",3,"Both",NA,"Neonates",2023,NA,NA,242,"Lead exposure in blood",50,738211.0990200089,0.13825082806316571,0.978,0
18,"Proportion",6,"CHN","China",3,"Both",2,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.10655147701973096,0.43800000000000006,0
18,"Proportion",6,"CHN","China",3,"Both",3,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.11631982221098991,0.4660000000000001,0
18,"Proportion",6,"CHN","China",3,"Both",6,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.12381600776666618,0.484,0
18,"Proportion",6,"CHN","China",3,"Both",7,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.1679821213772614,0.6144,0
18,"Proportion",6,"CHN","China",3,"Both",8,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.18130468889816992,0.6538,0
18,"Proportion",6,"CHN","China",3,"Both",9,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.2201184217621812,0.7404,0
18,"Proportion",6,"CHN","China",3,"Both",10,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.22177666832739043,0.7302,0
18,"Proportion",6,"CHN","China",3,"Both",11,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.27781922057996505,0.8372,0
18,"Proportion",6,"CHN","China",3,"Both",12,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.2818962195070865,0.855,0
18,"Proportion",6,"CHN","China",3,"Both",13,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.31608709419362563,0.8914,0
